id,comment,sentiment
88,"আজ সকালে আমি নাস্তা করার পর পত্রিকা পড়েছি এবং তারপর কাজে বেরিয়েছি, বিকেলে অফিস থেকে ফিরে বই পড়েছি।",neutral
89,আমরা ঢাকায় থাকি।,neutral
90,বাংলাদেশের প্রকৃতি সত্যিই মনোমুগ্ধকর।,positive
91,আমরা আগামী সপ্তাহে একটি নতুন প্রকল্প শুরু করব এবং এর জন্য আজ মিটিং অনুষ্ঠিত হয়েছে।,neutral
92,শিক্ষকের অনুপ্রেরণায় আমি নতুন জিনিস শিখতে আগ্রহী হয়েছি এবং নিজের লক্ষ্য অর্জনের দিকে এগিয়ে যাচ্ছি।,positive
93,আজকের আবহাওয়া চমৎকার।,positive
94,খাবারটি অসাধারণ স্বাদযুক্ত ছিল।,positive
95,খুবই সুন্দর দৃশ্য।,positive
96,"প্রতিযোগিতার আয়োজন ভালোভাবে করা হয়নি, যার ফলে অংশগ্রহণকারীরা হতাশ এবং অসন্তুষ্ট ছিলেন।",negative
97,আমি পরীক্ষায় ভালো ফলাফল করেছি।,positive
98,ক্লাসটি আজ অনলাইনে হয়েছে।,neutral
99,খাবারটি অসাধারণ স্বাদযুক্ত ছিল।,positive
100,"আজকের অনুষ্ঠানটি সত্যিই অসাধারণ ছিল, এত সুন্দরভাবে আয়োজন করা হয়েছে যে সবার মুখে হাসি ফুটে উঠেছে।",positive
101,ক্লাসটি আজ অনলাইনে হয়েছে।,neutral
102,"আজকের অনুষ্ঠানটি সত্যিই অসাধারণ ছিল, এত সুন্দরভাবে আয়োজন করা হয়েছে যে সবার মুখে হাসি ফুটে উঠেছে।",positive
103,সেবাটি একেবারেই সন্তোষজনক ছিল না।,negative
104,আমি সকাল ৭টায় উঠেছি।,neutral
105,"আজ সকালে আমি নাস্তা করার পর পত্রিকা পড়েছি এবং তারপর কাজে বেরিয়েছি, বিকেলে অফিস থেকে ফিরে বই পড়েছি।",neutral
106,বন্ধুদের সাথে সময় কাটিয়ে খুব ভালো লেগেছে।,positive
107,আমরা ঢাকায় থাকি।,neutral
108,"আজকের অনুষ্ঠানটি সত্যিই অসাধারণ ছিল, এত সুন্দরভাবে আয়োজন করা হয়েছে যে সবার মুখে হাসি ফুটে উঠেছে।",positive
109,"আজকের দিনটি সাধারণভাবেই কেটেছে, বিশেষ কিছু ঘটেনি তবে ব্যস্ত সময় পার করেছি।",neutral
110,আমি নতুন একটি বই কিনেছি।,neutral
111,আজ রবিবার।,neutral
112,আমি এই বইটি পড়ে খুব আনন্দ পেয়েছি।,positive
113,"আজকের অনুষ্ঠানটি সত্যিই অসাধারণ ছিল, এত সুন্দরভাবে আয়োজন করা হয়েছে যে সবার মুখে হাসি ফুটে উঠেছে।",positive
114,ক্লাসটি আজ অনলাইনে হয়েছে।,neutral
115,বাংলাদেশ দক্ষিণ এশিয়ার একটি দেশ।,neutral
116,রাত ১০টায় ঘুমাতে যাব।,neutral
117,"আজ সকালে আমি নাস্তা করার পর পত্রিকা পড়েছি এবং তারপর কাজে বেরিয়েছি, বিকেলে অফিস থেকে ফিরে বই পড়েছি।",neutral
118,তোমার সাহায্যের জন্য ধন্যবাদ।,positive
119,আমি প্রতিদিন চা খাই।,neutral
120,"আজকের অভিজ্ঞতাটি একেবারেই সুখকর ছিল না, সারাদিন প্রচণ্ড গরম এবং ট্রাফিক জ্যামের কারণে ভীষণ কষ্ট পেয়েছি।",negative
121,ট্রাফিক জ্যাম ভয়াবহ।,negative
122,"বাংলাদেশের গ্রামগুলো এখনও প্রকৃতির সৌন্দর্য ধরে রেখেছে, যেখানে নদী, সবুজ ক্ষেত আর গাছপালা মন ভরে দেয়।",positive
123,রাত ১০টায় ঘুমাতে যাব।,neutral
124,ট্রাফিক জ্যাম ভয়াবহ।,negative
125,"আমি এই প্রকল্পের ফলাফল দেখে অভিভূত, সবার কঠোর পরিশ্রম সত্যিই প্রশংসার যোগ্য।",positive
126,খুবই সুন্দর দৃশ্য।,positive
127,পরীক্ষাটা খুব কঠিন ছিল।,negative
128,ট্রাফিক জ্যাম ভয়াবহ।,negative
129,আমি পরীক্ষায় ভালো ফলাফল করেছি।,positive
130,আমরা ঢাকায় থাকি।,neutral
131,পরীক্ষার প্রশ্নপত্র অপ্রত্যাশিতভাবে কঠিন ছিল এবং প্রস্তুতি থাকা সত্ত্বেও আমি ভালো করতে পারিনি।,negative
132,আমি নতুন একটি বই কিনেছি।,neutral
133,আমরা আগামী সপ্তাহে একটি নতুন প্রকল্প শুরু করব এবং এর জন্য আজ মিটিং অনুষ্ঠিত হয়েছে।,neutral
134,পরীক্ষাটা খুব কঠিন ছিল।,negative
135,"বাংলাদেশের গ্রামগুলো এখনও প্রকৃতির সৌন্দর্য ধরে রেখেছে, যেখানে নদী, সবুজ ক্ষেত আর গাছপালা মন ভরে দেয়।",positive
136,আমার মোবাইলটি নষ্ট হয়ে গেছে।,negative
137,আমি সকাল ৭টায় উঠেছি।,neutral
138,ফলাফলে আমি হতাশ।,negative
139,খাবারটি একদমই ভালো ছিল না।,negative
140,ট্রাফিক জ্যাম ভয়াবহ।,negative
141,খুবই সুন্দর দৃশ্য।,positive
142,আজকের দিনটা খুব ভালো লাগছে।,positive
143,পরীক্ষাটা খুব কঠিন ছিল।,negative
144,রাত ১০টায় ঘুমাতে যাব।,neutral
145,শিক্ষকের অনুপ্রেরণায় আমি নতুন জিনিস শিখতে আগ্রহী হয়েছি এবং নিজের লক্ষ্য অর্জনের দিকে এগিয়ে যাচ্ছি।,positive
146,শিক্ষকের অনুপ্রেরণায় আমি নতুন জিনিস শিখতে আগ্রহী হয়েছি এবং নিজের লক্ষ্য অর্জনের দিকে এগিয়ে যাচ্ছি।,positive
147,সেবাটি একেবারেই সন্তোষজনক ছিল না।,negative
148,আমি নতুন একটি বই কিনেছি।,neutral
149,"বাংলাদেশের গ্রামগুলো এখনও প্রকৃতির সৌন্দর্য ধরে রেখেছে, যেখানে নদী, সবুজ ক্ষেত আর গাছপালা মন ভরে দেয়।",positive
150,তোমার সাহায্যের জন্য ধন্যবাদ।,positive
151,আজকের দিনটি সাধারণভাবে কেটেছে।,neutral
152,আজকের আবহাওয়া খুব খারাপ।,negative
153,আজ খুব খারাপ লাগছে।,negative
154,বাংলাদেশের প্রকৃতি সত্যিই মনোমুগ্ধকর।,positive
155,আজকের দিনটি সাধারণভাবে কেটেছে।,neutral
156,তুমি দারুণ কাজ করেছো।,positive
157,আমি নতুন একটি বই কিনেছি।,neutral
158,আজকের দিনটা খুব ভালো লাগছে।,positive
159,ট্রাফিক জ্যাম ভয়াবহ।,negative
160,আমরা আগামী সপ্তাহে একটি নতুন প্রকল্প শুরু করব এবং এর জন্য আজ মিটিং অনুষ্ঠিত হয়েছে।,neutral
161,"আজ সকালে আমি নাস্তা করার পর পত্রিকা পড়েছি এবং তারপর কাজে বেরিয়েছি, বিকেলে অফিস থেকে ফিরে বই পড়েছি।",neutral
162,আজকের আবহাওয়া খুব খারাপ।,negative
163,আজ রবিবার।,neutral
164,বাংলাদেশের প্রকৃতি সত্যিই মনোমুগ্ধকর।,positive
165,খাবারটি অসাধারণ স্বাদযুক্ত ছিল।,positive
166,আমি নতুন একটি বই কিনেছি।,neutral
167,তুমি সময়মতো কাজ করোনি।,negative
168,বাংলাদেশের প্রকৃতি সত্যিই মনোমুগ্ধকর।,positive
169,বন্ধুদের সাথে সময় কাটিয়ে খুব ভালো লেগেছে।,positive
170,বাংলাদেশ দক্ষিণ এশিয়ার একটি দেশ।,neutral
171,আমার মোবাইলটি নষ্ট হয়ে গেছে।,negative
172,খাবারটি একদমই ভালো ছিল না।,negative
173,আমার মোবাইলটি নষ্ট হয়ে গেছে।,negative
174,আমি আজ বাজার থেকে যে পণ্যটি কিনেছি তা প্রত্যাশা অনুযায়ী ভালো মানের ছিল না এবং দ্রুত নষ্ট হয়ে গেছে।,negative
175,ক্লাসটি আজ অনলাইনে হয়েছে।,neutral
176,"আজ সকালে আমি নাস্তা করার পর পত্রিকা পড়েছি এবং তারপর কাজে বেরিয়েছি, বিকেলে অফিস থেকে ফিরে বই পড়েছি।",neutral
177,আমি সকাল ৭টায় উঠেছি।,neutral
178,আমি এই বইটি পড়ে খুব আনন্দ পেয়েছি।,positive
179,তুমি সময়মতো কাজ করোনি।,negative
180,আমার মোবাইলটি নষ্ট হয়ে গেছে।,negative
181,আমি আজ বাজার থেকে যে পণ্যটি কিনেছি তা প্রত্যাশা অনুযায়ী ভালো মানের ছিল না এবং দ্রুত নষ্ট হয়ে গেছে।,negative
182,তুমি দারুণ কাজ করেছো।,positive
183,আমি প্রতিদিন চা খাই।,neutral
184,আমার মোবাইলটি নষ্ট হয়ে গেছে।,negative
185,আজকের দিনটা খুব ভালো লাগছে।,positive
186,খুবই সুন্দর দৃশ্য।,positive
187,আমি নতুন একটি বই কিনেছি।,neutral
188,আমার মোবাইলটি নষ্ট হয়ে গেছে।,negative
189,সিনেমাটি বিরক্তিকর ছিল।,negative
190,আমি প্রতিদিন চা খাই।,neutral
191,আমি পরীক্ষায় ভালো ফলাফল করেছি।,positive
192,আমি নতুন একটি বই কিনেছি।,neutral
193,বাংলাদেশের প্রকৃতি সত্যিই মনোমুগ্ধকর।,positive
194,"আজকের দিনটি সাধারণভাবেই কেটেছে, বিশেষ কিছু ঘটেনি তবে ব্যস্ত সময় পার করেছি।",neutral
195,সেবাটি একেবারেই সন্তোষজনক ছিল না।,negative
196,আমার মোবাইলটি নষ্ট হয়ে গেছে।,negative
197,আমি প্রতিদিন চা খাই।,neutral
198,"প্রতিযোগিতার আয়োজন ভালোভাবে করা হয়নি, যার ফলে অংশগ্রহণকারীরা হতাশ এবং অসন্তুষ্ট ছিলেন।",negative
199,ক্লাসটি আজ অনলাইনে হয়েছে।,neutral
200,পরীক্ষার প্রশ্নপত্র অপ্রত্যাশিতভাবে কঠিন ছিল এবং প্রস্তুতি থাকা সত্ত্বেও আমি ভালো করতে পারিনি।,negative
201,আমি পরীক্ষায় ভালো ফলাফল করেছি।,positive
202,"আজকের অভিজ্ঞতাটি একেবারেই সুখকর ছিল না, সারাদিন প্রচণ্ড গরম এবং ট্রাফিক জ্যামের কারণে ভীষণ কষ্ট পেয়েছি।",negative
203,বাংলাদেশের প্রকৃতি সত্যিই মনোমুগ্ধকর।,positive
204,ক্লাসটি আজ অনলাইনে হয়েছে।,neutral
205,আমরা আগামী সপ্তাহে একটি নতুন প্রকল্প শুরু করব এবং এর জন্য আজ মিটিং অনুষ্ঠিত হয়েছে।,neutral
206,"আজ সকালে আমি নাস্তা করার পর পত্রিকা পড়েছি এবং তারপর কাজে বেরিয়েছি, বিকেলে অফিস থেকে ফিরে বই পড়েছি।",neutral
207,বন্ধুদের সাথে সময় কাটিয়ে খুব ভালো লেগেছে।,positive
208,আজকের আবহাওয়া খুব খারাপ।,negative
209,"আমি প্রতিদিন সকালে হাঁটতে যাই, যা আমার স্বাস্থ্যের জন্য ভালো এবং মনও ফ্রেশ থাকে।",neutral
210,এই সপ্তাহে অনেক কাজ আছে।,neutral
211,"আমি এই প্রকল্পের ফলাফল দেখে অভিভূত, সবার কঠোর পরিশ্রম সত্যিই প্রশংসার যোগ্য।",positive
212,বন্ধুদের সাথে সময় কাটিয়ে খুব ভালো লেগেছে।,positive
213,সিনেমাটি বিরক্তিকর ছিল।,negative
214,"আজ সকালে আমি নাস্তা করার পর পত্রিকা পড়েছি এবং তারপর কাজে বেরিয়েছি, বিকেলে অফিস থেকে ফিরে বই পড়েছি।",neutral
215,এই সপ্তাহে অনেক কাজ আছে।,neutral
216,সিনেমাটি বিরক্তিকর ছিল।,negative
217,বাংলাদেশ দক্ষিণ এশিয়ার একটি দেশ।,neutral
218,বন্ধুদের সাথে সময় কাটিয়ে খুব ভালো লেগেছে।,positive
219,আমি সকাল ৭টায় উঠেছি।,neutral
220,আজকের দিনটা খুব ভালো লাগছে।,positive
221,তুমি সময়মতো কাজ করোনি।,negative
222,সিনেমাটি বিরক্তিকর ছিল।,negative
223,"প্রতিযোগিতার আয়োজন ভালোভাবে করা হয়নি, যার ফলে অংশগ্রহণকারীরা হতাশ এবং অসন্তুষ্ট ছিলেন।",negative
224,বাংলাদেশের প্রকৃতি সত্যিই মনোমুগ্ধকর।,positive
225,"আমি প্রতিদিন সকালে হাঁটতে যাই, যা আমার স্বাস্থ্যের জন্য ভালো এবং মনও ফ্রেশ থাকে।",neutral
226,আজকের দিনটি সাধারণভাবে কেটেছে।,neutral
227,"আজকের দিনটি সাধারণভাবেই কেটেছে, বিশেষ কিছু ঘটেনি তবে ব্যস্ত সময় পার করেছি।",neutral
228,"আমি এই প্রকল্পের ফলাফল দেখে অভিভূত, সবার কঠোর পরিশ্রম সত্যিই প্রশংসার যোগ্য।",positive
229,আজকের আবহাওয়া চমৎকার।,positive
230,আজকের আবহাওয়া চমৎকার।,positive
231,"আজকের অভিজ্ঞতাটি একেবারেই সুখকর ছিল না, সারাদিন প্রচণ্ড গরম এবং ট্রাফিক জ্যামের কারণে ভীষণ কষ্ট পেয়েছি।",negative
232,আমার মোবাইলটি নষ্ট হয়ে গেছে।,negative
233,তুমি সময়মতো কাজ করোনি।,negative
234,তোমার সাহায্যের জন্য ধন্যবাদ।,positive
235,আমি নতুন একটি বই কিনেছি।,neutral
236,আমি নতুন একটি বই কিনেছি।,neutral
237,"আমি প্রতিদিন সকালে হাঁটতে যাই, যা আমার স্বাস্থ্যের জন্য ভালো এবং মনও ফ্রেশ থাকে।",neutral
238,"আজ সকালে আমি নাস্তা করার পর পত্রিকা পড়েছি এবং তারপর কাজে বেরিয়েছি, বিকেলে অফিস থেকে ফিরে বই পড়েছি।",neutral
239,"আমি প্রতিদিন সকালে হাঁটতে যাই, যা আমার স্বাস্থ্যের জন্য ভালো এবং মনও ফ্রেশ থাকে।",neutral
240,ক্লাসটি আজ অনলাইনে হয়েছে।,neutral
241,আজকের দিনটি সাধারণভাবে কেটেছে।,neutral
242,তুমি দারুণ কাজ করেছো।,positive
243,আমার মোবাইলটি নষ্ট হয়ে গেছে।,negative
244,ফলাফলে আমি হতাশ।,negative
245,আমি আজ বাজার থেকে যে পণ্যটি কিনেছি তা প্রত্যাশা অনুযায়ী ভালো মানের ছিল না এবং দ্রুত নষ্ট হয়ে গেছে।,negative
246,"প্রতিযোগিতার আয়োজন ভালোভাবে করা হয়নি, যার ফলে অংশগ্রহণকারীরা হতাশ এবং অসন্তুষ্ট ছিলেন।",negative
247,"আমি এই প্রকল্পের ফলাফল দেখে অভিভূত, সবার কঠোর পরিশ্রম সত্যিই প্রশংসার যোগ্য।",positive
248,আজকের দিনটি সাধারণভাবে কেটেছে।,neutral
249,ট্রাফিক জ্যাম ভয়াবহ।,negative
250,আমার মোবাইলটি নষ্ট হয়ে গেছে।,negative
251,ক্লাসটি আজ অনলাইনে হয়েছে।,neutral
252,খাবারটি একদমই ভালো ছিল না।,negative
253,"আজ সকালে আমি নাস্তা করার পর পত্রিকা পড়েছি এবং তারপর কাজে বেরিয়েছি, বিকেলে অফিস থেকে ফিরে বই পড়েছি।",neutral
254,রাত ১০টায় ঘুমাতে যাব।,neutral
255,পরীক্ষার প্রশ্নপত্র অপ্রত্যাশিতভাবে কঠিন ছিল এবং প্রস্তুতি থাকা সত্ত্বেও আমি ভালো করতে পারিনি।,negative
256,আমি আজ বাজার থেকে যে পণ্যটি কিনেছি তা প্রত্যাশা অনুযায়ী ভালো মানের ছিল না এবং দ্রুত নষ্ট হয়ে গেছে।,negative
257,খাবারটি অসাধারণ স্বাদযুক্ত ছিল।,positive
258,খাবারটি অসাধারণ স্বাদযুক্ত ছিল।,positive
259,আমি সকাল ৭টায় উঠেছি।,neutral
260,ট্রাফিক জ্যাম ভয়াবহ।,negative
261,ক্লাসটি আজ অনলাইনে হয়েছে।,neutral
262,আজকের দিনটি সাধারণভাবে কেটেছে।,neutral
263,তুমি দারুণ কাজ করেছো।,positive
264,ক্লাসটি আজ অনলাইনে হয়েছে।,neutral
265,"আজকের দিনটি সাধারণভাবেই কেটেছে, বিশেষ কিছু ঘটেনি তবে ব্যস্ত সময় পার করেছি।",neutral
266,সিনেমাটি বিরক্তিকর ছিল।,negative
267,বন্ধুদের সাথে সময় কাটিয়ে খুব ভালো লেগেছে।,positive
268,এই সপ্তাহে অনেক কাজ আছে।,neutral
269,তুমি দারুণ কাজ করেছো।,positive
270,"আজকের অনুষ্ঠানটি সত্যিই অসাধারণ ছিল, এত সুন্দরভাবে আয়োজন করা হয়েছে যে সবার মুখে হাসি ফুটে উঠেছে।",positive
271,বাংলাদেশ দক্ষিণ এশিয়ার একটি দেশ।,neutral
272,বাংলাদেশ দক্ষিণ এশিয়ার একটি দেশ।,neutral
273,আমি এই বইটি পড়ে খুব আনন্দ পেয়েছি।,positive
274,তুমি সময়মতো কাজ করোনি।,negative
275,আজকের দিনটি সাধারণভাবে কেটেছে।,neutral
276,"আজকের অনুষ্ঠানটি সত্যিই অসাধারণ ছিল, এত সুন্দরভাবে আয়োজন করা হয়েছে যে সবার মুখে হাসি ফুটে উঠেছে।",positive
277,আজকের দিনটা খুব ভালো লাগছে।,positive
278,আমরা ঢাকায় থাকি।,neutral
279,"আজকের অভিজ্ঞতাটি একেবারেই সুখকর ছিল না, সারাদিন প্রচণ্ড গরম এবং ট্রাফিক জ্যামের কারণে ভীষণ কষ্ট পেয়েছি।",negative
280,ট্রাফিক জ্যাম ভয়াবহ।,negative
281,বাংলাদেশ দক্ষিণ এশিয়ার একটি দেশ।,neutral
282,তুমি সময়মতো কাজ করোনি।,negative
283,"আজকের অভিজ্ঞতাটি একেবারেই সুখকর ছিল না, সারাদিন প্রচণ্ড গরম এবং ট্রাফিক জ্যামের কারণে ভীষণ কষ্ট পেয়েছি।",negative
284,"বাংলাদেশের গ্রামগুলো এখনও প্রকৃতির সৌন্দর্য ধরে রেখেছে, যেখানে নদী, সবুজ ক্ষেত আর গাছপালা মন ভরে দেয়।",positive
285,"আজকের অনুষ্ঠানটি সত্যিই অসাধারণ ছিল, এত সুন্দরভাবে আয়োজন করা হয়েছে যে সবার মুখে হাসি ফুটে উঠেছে।",positive
286,বাংলাদেশ দক্ষিণ এশিয়ার একটি দেশ।,neutral
287,"আজকের দিনটি সাধারণভাবেই কেটেছে, বিশেষ কিছু ঘটেনি তবে ব্যস্ত সময় পার করেছি।",neutral
288,আমরা আগামী সপ্তাহে একটি নতুন প্রকল্প শুরু করব এবং এর জন্য আজ মিটিং অনুষ্ঠিত হয়েছে।,neutral
289,খুবই সুন্দর দৃশ্য।,positive
290,পরীক্ষার প্রশ্নপত্র অপ্রত্যাশিতভাবে কঠিন ছিল এবং প্রস্তুতি থাকা সত্ত্বেও আমি ভালো করতে পারিনি।,negative
291,আজকের দিনটা খুব ভালো লাগছে।,positive
292,আমি আজ বাজার থেকে যে পণ্যটি কিনেছি তা প্রত্যাশা অনুযায়ী ভালো মানের ছিল না এবং দ্রুত নষ্ট হয়ে গেছে।,negative
293,সিনেমাটি বিরক্তিকর ছিল।,negative
294,আমরা আগামী সপ্তাহে একটি নতুন প্রকল্প শুরু করব এবং এর জন্য আজ মিটিং অনুষ্ঠিত হয়েছে।,neutral
295,আজ খুব খারাপ লাগছে।,negative
296,খাবারটি অসাধারণ স্বাদযুক্ত ছিল।,positive
297,এই সপ্তাহে অনেক কাজ আছে।,neutral
298,আমি পরীক্ষায় ভালো ফলাফল করেছি।,positive
299,ট্রাফিক জ্যাম ভয়াবহ।,negative
300,আমি প্রতিদিন চা খাই।,neutral
301,আজকের দিনটি সাধারণভাবে কেটেছে।,neutral
